u	v	angleDeg	lengthCm
0.44	0.139	86.129	8.69
0.201	0.701	60.33	29.589
0.428	0.148	85.615	9.027
0.981	0.781	177.334	36.611
0.829	0.383	129.427	16.236
0.287	0.365	76.137	15.665
0.596	0.36	95.167	15.47
0.899	0.724	164.094	31.446
0.453	0.124	86.663	8.117
0.147	0.863	30.341	44.878
0.129	0.769	22.349	35.561
0.025	0.93	3.831	63.549
0.736	0.286	108.07	13.164
0.373	0.237	82.529	11.845
0.574	0.137	93.351	8.616
0.825	0.52	127.201	21.378
0.814	0.603	121.258	23.937
0.873	0.827	156.321	41.159
0.111	0.73	17.979	32.052
0.953	0.829	173.967	41.409
0.569	0.415	92.947	17.191
0.037	0.988	5.811	101.584
0.245	0.206	70.792	10.942
0.979	0.888	177.063	48.911
0.886	0.797	160.813	38.136
0.241	0.49	70.072	20.135
0.757	0.168	110.059	9.729
0.563	0.014	92.506	3.192
0.305	0.473	77.757	19.397
0.694	0.329	104.182	14.424
0.336	0.589	80.041	23.506
0.206	0.345	61.981	14.946
0.919	0.982	167.956	93.587
0.023	0.994	3.539	116.174
0.964	0.666	175.142	27
0.316	0.455	78.599	18.643
0.666	0.482	101.677	19.793
0.534	0.213	90.64	11.152
0.818	0.424	123.12	17.481
0.185	0.591	53.967	23.555
0.4	0.425	84.185	17.496
0.178	0.002	50.331	2.003
0.285	0.889	75.983	49.142
0.629	0.248	98.373	12.155
0.3	0.967	77.341	80.583
0.444	0.126	86.275	8.196
0.73	0.193	107.512	10.54
0.668	0.173	101.904	9.922
0.312	0.508	78.277	20.899
0.479	0.142	87.75	8.808
0.291	0.58	76.565	23.25
0.182	0.937	52.39	65.628
0.361	0.249	81.701	12.197
0.904	0.761	165.071	34.795
0.394	0.233	83.856	11.745
0.78	0.747	112.819	33.574
0.284	0.403	75.853	16.835
0.854	0.579	146.455	23.215
0.172	0.744	46.534	33.301
0.079	0.845	12.736	43.081
0.292	0.775	76.626	36.058
0.84	0.956	137.296	73.176
0.945	0.399	172.928	16.7
0.045	0.914	7.177	57.552
0.758	0.531	110.18	21.764
0.297	0.771	77.063	35.754
0.651	0.223	100.378	11.434
0.085	0.72	13.656	31.177
0.975	0.924	176.555	61.301
0.014	0.997	1.956	124.667
0.539	0.021	90.959	3.595
0.966	0.982	175.353	93.555
0.101	0.814	16.277	39.813
0.257	0.773	72.52	35.895
0.895	0.831	163.249	41.571
0.388	0.243	83.475	12.023
0.794	0.847	115.354	43.236
0.349	0.562	80.95	22.73
0.139	0.001	26.043	1.942
0.651	0.265	100.328	12.637
0.544	0.059	91.273	6.024
0.945	0.706	172.924	29.939
0.572	0.072	93.151	6.499
0.954	0.893	174.079	50.232
0.78	0.608	112.874	24.134
0.118	0.727	19.596	31.787
0.837	0.713	134.982	30.574
0.087	0.786	14.005	37.103
0.749	0.268	109.21	12.701
0.065	0.946	10.48	68.666
0.078	0.891	12.484	49.656
0.105	0.69	16.97	28.684
0.407	0.157	84.593	9.346
0.975	0.953	176.482	71.988
0.165	0.006	41.583	2.478
0.503	0.003	88.951	2.175
0.202	0.732	60.537	32.184
0.2	0.348	59.918	15.067
0.178	0.475	50.147	19.508
0.274	0.295	74.723	13.419
0.131	0.338	22.969	14.729
0.859	0.602	149.47	23.903
0.645	0.07	99.842	6.428
0.603	0.2	95.806	10.753
0.972	0.698	176.078	29.311
0.377	0.408	82.745	16.983
0.819	0.301	123.773	13.584
0.227	0.2	67.304	10.778
0.207	0.447	62.102	18.302
0.194	0.782	57.927	36.736
0.241	0.658	70	26.504
0.98	0.969	177.194	82.297
0.524	0.063	90.102	6.184
0.826	0.598	127.83	23.765
0.671	0.234	102.145	11.763
0.978	0.974	176.884	86.087
0.058	0.81	9.27	39.434
0.337	0.59	80.096	23.538
0.013	0.949	1.769	70.015
0.363	0.216	81.838	11.224
0.21	0.92	63.037	60.01
0.152	0.799	33.115	38.278
0.936	0.909	171.234	55.839
0.401	0.122	84.277	8.058
0.486	0.073	88.092	6.534
0.681	0.306	103.088	13.724
0.854	0.141	146.655	8.773
0.913	0.26	166.771	12.515
0.476	0.233	87.625	11.717
0.714	0.373	106.004	15.926
0.83	0.375	129.964	15.977
0.676	0.464	102.581	19.009
0.34	0.289	80.298	13.245
0.891	0.872	162.201	45.982
0.529	0.168	90.364	9.74
0.874	0.71	156.973	30.291
0.259	0.576	72.786	23.114
0.542	0.138	91.177	8.67
0.216	0.425	64.75	17.515
0.217	0.569	64.935	22.929
0.474	0.124	87.543	8.12
0.893	0.63	162.677	24.998
0.302	0.78	77.478	36.54
0.555	0.377	91.99	16.053
0.755	0.448	109.856	18.349
0.956	0.952	174.393	71.469
0.954	0.871	174.158	45.853
0.333	0.413	79.863	17.118
0.517	0.21	89.679	11.072
0.148	0.756	30.776	34.425
0.357	0.204	81.441	10.877
0.705	0.563	105.172	22.759
0.08	0.814	12.92	39.84
0.252	0.757	71.768	34.485
0.051	0.82	8.255	40.474
0.739	0.775	108.272	36.04
0.014	0.926	1.98	62.182
0.042	0.992	6.737	109.365
0.282	0.461	75.609	18.887
0.041	0.807	6.46	39.085
0.632	0.071	98.641	6.491
0.755	0.662	109.819	26.784
0.051	0.854	8.174	44.005
0.63	0.243	98.392	12.026
0.357	0.589	81.46	23.491
0.808	0.553	119.125	22.468
0.672	0.076	102.214	6.636
0.022	0.954	3.39	72.327
0.69	0.123	103.811	8.099
0.887	0.847	161.273	43.258
0.537	0.019	90.859	3.475
0.885	0.647	160.605	25.876
0.914	0.754	167.002	34.165
0.849	0.745	143.335	33.359
0.294	0.029	76.759	4.067
0.784	0.578	113.485	23.189
0.494	0.292	88.476	13.324
0.983	0.984	177.658	95.682
0.243	0.786	70.449	37.081
0.073	0.885	11.731	48.343
0.232	0.429	68.334	17.648
0.28	0.441	75.404	18.061
0.971	0.668	175.949	27.128
0.659	0.398	101.09	16.689
0.67	0.27	102.077	12.764
0.21	0.365	63.078	15.639
0.991	0.762	179.091	34.907
0.534	0.15	90.673	9.121
0.574	0.215	93.351	11.202
0.772	0.663	111.77	26.828
0.357	0.362	81.459	15.555
0.257	0.439	72.508	17.993
0.316	0.122	78.643	8.04
0.744	0.471	108.819	19.346
0.5	0.015	88.777	3.254
0.709	0.642	105.559	25.603
0.415	0.086	85.023	6.898
0.21	0.77	63.098	35.604
0.081	0.866	12.993	45.252
0.159	0.785	37.792	36.983
0.504	0.112	89.005	7.671
0.835	0.857	133.81	44.334
0.487	0.33	88.17	14.466
0.433	0.197	85.832	10.664
0.881	0.734	159.251	32.339
0.765	0.494	110.888	20.298
0.055	0.67	8.817	27.26
0.199	0.898	59.743	51.791
0.687	0.384	103.567	16.262
0.899	0.978	164.153	89.328
0.046	0.49	7.307	20.133
0.09	0.933	14.4	64.627
0.441	0.05	86.163	5.527
0.778	0.364	112.541	15.626
0.14	0.661	26.635	26.688
0.679	0.593	102.844	23.629
0.048	0.76	7.618	34.702
0.606	0.377	96.076	16.049
0.45	0.133	86.533	8.453
0.748	0.535	109.133	21.927
0.177	0.516	49.57	21.229
0.655	0.664	100.72	26.873
0.164	0.925	41.087	61.972
0.262	0.792	73.201	37.632
0.095	0.692	15.276	28.844
0.394	0.172	83.881	9.876
0.213	0.761	64.015	34.867
0.641	0.21	99.415	11.053
0.258	0.987	72.642	99.512
0.095	0.458	15.207	18.751
0.07	0.803	11.314	38.721
0.188	0.393	55.428	16.52
0.873	0.726	156.499	31.681
0.981	0.775	177.416	36.114
0.391	0.584	83.662	23.347
0.018	0.986	2.724	98.078
0.045	0.797	7.106	38.1
0.108	0.691	17.453	28.829
0.57	0.18	93.043	10.137
0.839	0.599	136.333	23.805
0.815	0.363	121.836	15.568
0.862	0.624	151.227	24.735
0.853	0.595	146.102	23.673
0.8	0.971	116.564	83.635
0.02	0.944	3.037	67.944
0.523	0.034	90.012	4.387
0.364	0.271	81.882	12.78
0.627	0.483	98.135	19.845
0.916	0.812	167.324	39.596
0.183	0.605	52.73	24.03
0.449	0.074	86.471	6.561
0.257	0.344	72.575	14.927
0.594	0.191	95.004	10.492
0.396	0.18	84.004	10.154
0.874	0.951	156.685	70.946
0.175	0.978	48.26	89.671
0.81	0.547	119.612	22.284
0.794	0.603	115.341	23.961
0.605	0.02	96.003	3.521
0.052	0.918	8.375	59.057
0.691	0.891	103.971	49.606
0.151	0.661	32.678	26.71
0.201	0.565	60.209	22.825
0.103	0.555	16.69	22.54
0.013	0.998	1.779	129.208
0.653	0.311	100.512	13.868
0.242	0.64	70.253	25.48
0.129	0.589	22.429	23.492
0.058	0.849	9.379	43.486
0.707	0.673	105.378	27.469
0.031	0.901	4.766	52.595
0.88	0.475	159.129	19.484
0.016	0.792	2.444	37.639
0.51	0.107	89.32	7.515
0.644	0.236	99.766	11.809
0.697	0.435	104.464	17.851
0.658	0.177	100.995	10.05
0.257	0.799	72.488	38.319
0.998	0.988	179.966	102.103
0.693	0.62	104.1	24.566
0.051	0.83	8.125	41.507
0.102	0.808	16.377	39.2
0.48	0.093	87.824	7.087
0.469	0.321	87.337	14.149
0.266	0.516	73.786	21.202
0.089	0.923	14.343	61.153
0.611	0.039	96.634	4.746
0.395	0.394	83.914	16.554
0.54	0.014	91.004	3.185
0.862	0.631	151.096	25.061
0.752	0.357	109.578	15.391
0.758	0.593	110.162	23.609
0.924	0.954	168.852	72.325
0.329	0.197	79.555	10.688
0.156	0.49	35.841	20.15
0.215	0.847	64.541	43.316
0.113	0.55	18.426	22.389
0.196	0.65	58.5	26.025
0.858	0.724	148.869	31.479
0.228	0.779	67.514	36.443
0.767	0.642	111.131	25.583
