x	y
167.329	51.426
392.407	176.804
113.154	76.919
339.153	173.96
32.896	90.053
354.584	384.439
188.772	179.371
43.64	310.858
133.311	63.288
334.967	346.723
110.74	82.458
234.814	71.18
334.693	65.956
28.462	226.108
281.111	290.872
279.53	350.368
185.585	283.37
174.772	190.985
224.871	328.112
371.393	6.645
92.187	398.444
88.726	253.958
168.086	171.39
133.408	11.357
345.923	301.333
70.878	83.454
197.327	399.782
171.885	362.9
225.706	284.986
262.465	292.373
391.422	188.995
92.864	345.004
96.325	66.166
318.734	248.171
332.669	116.933
45.403	182.457
385.325	18.256
58.929	71.065
57.451	23.173
370.092	377.764
202.814	137.097
61.94	207.18
139.321	250.098
263.928	94.906
124.709	206.45
140.629	322.617
59.138	139.306
