u	v	angleDeg	lengthCm
0.216	0.562	64.75	22.73
0.217	0.843	64.935	42.88
0.474	0.778	87.543	36.348
0.893	0.2	162.677	10.778
0.302	0.257	77.478	12.428
0.555	0.891	91.99	49.606
0.755	0.18	109.856	10.154
0.956	0.122	174.393	8.058
0.954	0.922	174.158	60.61
0.333	0.992	79.863	109.365
0.517	0.576	89.679	23.114
0.148	0.647	30.776	25.876
0.357	0.49	81.441	20.15
0.705	0.52	105.172	21.378
0.08	0.516	12.92	21.229
0.252	0.249	71.768	12.197
0.051	0.595	8.255	23.673
0.739	0.231	108.272	11.671
0.014	0.697	1.98	29.292
0.042	0.535	6.737	21.927
0.282	0.014	75.609	3.185
0.041	0.112	6.46	7.671
0.632	0.982	98.641	93.587
0.755	0.332	109.819	14.507
0.051	0.849	8.174	43.486
0.63	0.015	98.392	3.254
0.357	0.124	81.46	8.117
0.808	0.431	119.125	17.708
0.672	0.579	102.214	23.215
0.022	0.773	3.39	35.895
0.69	0.177	103.811	10.05
0.887	0.516	161.273	21.202
0.537	0.673	90.859	27.469
0.885	0.666	160.605	27
0.914	0.168	167.002	9.74
0.849	0.458	143.335	18.751
0.294	0.002	76.759	2.102
0.784	0.748	113.485	33.629
0.494	0.373	88.476	15.926
0.983	0.934	177.658	64.936
0.243	0.345	70.449	14.946
0.073	0.301	11.731	13.584
0.232	0.665	68.334	26.948
0.28	0.365	75.404	15.639
0.971	0.289	175.949	13.245
0.659	0.377	101.09	16.049
0.67	0.295	102.077	13.419
0.21	0.236	63.078	11.809
0.991	0.661	179.091	26.688
0.534	0.295	90.673	13.401
0.574	0.571	93.351	22.975
0.772	0.329	111.77	14.424
0.357	0.578	81.459	23.189
0.257	0.93	72.508	63.549
0.316	0.988	78.643	102.103
0.744	0.425	108.819	17.515
0.5	0.034	88.777	4.387
0.709	0.799	105.559	38.278
0.415	0.937	85.023	65.628
0.21	0.231	63.098	11.68
0.081	0.526	12.993	21.58
0.159	0.969	37.792	82.297
0.504	0.988	89.005	101.584
0.835	0.78	133.81	36.54
0.487	0.123	88.17	8.099
0.433	0.133	85.832	8.453
0.881	0.756	159.251	34.425
0.765	0.531	110.888	21.764
0.055	0.146	8.817	8.951
0.199	0.962	59.743	77.194
0.687	0.652	103.567	26.175
0.899	0.738	164.153	32.727
0.046	0.482	7.307	19.793
0.09	0.384	14.4	16.262
0.441	0.691	86.163	28.829
0.778	0.49	112.541	20.133
0.14	0.829	26.635	41.409
0.679	0.888	102.844	48.911
0.048	0.762	7.618	34.907
0.606	0.553	96.076	22.468
0.45	0.901	86.533	52.595
0.748	0.55	109.133	22.389
0.177	0.954	49.57	72.43
0.655	0.72	100.72	31.177
0.164	0.925	41.087	61.972
0.262	0.871	73.201	45.853
0.095	0.05	15.276	5.527
0.394	0.565	83.881	22.825
0.213	0.365	64.015	15.665
0.641	0.838	99.415	42.372
0.258	0.775	72.642	36.114
0.095	0.91	15.207	56.042
0.07	0.649	11.314	25.993
0.188	0.508	55.428	20.899
0.873	0.713	156.499	30.574
0.981	0.726	177.416	31.681
0.391	0.093	83.662	7.087
0.018	0.003	2.724	2.175
0.045	0.793	7.106	37.719
0.108	0.855	17.453	44.083
0.57	0.674	93.043	27.575
0.839	0.847	136.333	43.236
0.815	0.021	121.836	3.595
0.862	0.589	151.227	23.491
0.853	0.73	146.102	32.052
0.8	0.464	116.564	19.009
0.02	0.475	3.037	19.484
0.523	0.668	90.012	27.128
0.364	0.944	81.882	67.944
0.627	0.031	98.135	4.147
0.916	0.986	167.324	98.078
0.183	0.366	52.73	15.67
0.449	0.706	86.471	29.939
0.257	0.918	72.575	59.057
0.594	0.608	95.004	24.134
0.396	0.855	84.004	44.046
0.874	0.63	156.685	24.998
0.175	0.661	48.26	26.707
0.81	0.81	119.612	39.434
0.794	0.792	115.341	37.639
0.605	0.71	96.003	30.291
0.052	0.827	8.375	41.159
0.691	0.99	103.971	105.335
0.151	0.993	32.678	112.551
0.201	0.084	60.209	6.85
0.103	0.956	16.69	73.176
0.013	0.408	1.779	16.983
0.653	0.745	100.512	33.359
0.242	0.999	70.253	133.436
0.129	0.076	22.429	6.638
0.058	0.272	9.379	12.813
0.707	0.141	105.378	8.773
0.031	0.204	4.766	10.877
0.88	0.328	159.129	14.395
0.016	0.662	2.444	26.784
0.51	0.029	89.32	4.067
0.644	0.361	99.766	15.509
0.697	0.197	104.464	10.685
0.658	0.039	100.995	4.746
0.257	0.494	72.488	20.298
0.998	0.974	179.966	86.087
0.693	0.483	104.1	19.845
0.051	0.584	8.125	23.347
0.102	0.598	16.377	23.765
0.48	0.76	87.824	34.702
0.469	0.698	87.337	29.367
0.266	0.593	73.786	23.629
0.089	0.663	14.343	26.828
0.611	0.658	96.634	26.504
0.395	0.2	83.914	10.753
0.54	0.757	91.004	34.485
0.862	0.475	151.096	19.482
0.752	0.69	109.578	28.684
0.758	0.213	110.162	11.152
0.924	0.889	168.852	49.142
0.329	0.472	79.555	19.368
0.156	0.951	35.841	71.032
0.215	0.707	64.541	30.04
0.113	0.797	18.426	38.1
0.196	0.599	58.5	23.804
0.858	0.599	148.869	23.805
0.228	0.814	67.514	39.84
0.767	0.555	111.131	22.54
